o_zone_id,d_zone_id,path_id,link_ids,fftt_cost
10030,10032,1,402;306;270;234;196;193;197;203;239;275;311;407,21.009904
10030,10032,2,402;306;303;272;236;200;197;203;239;275;311;407,21.066334
10030,10032,3,402;333;308;272;236;200;162;343;203;239;275;311;407,22.056584
10030,10032,4,402;306;270;234;231;200;197;201;207;243;279;315;336;407,25.072368
10030,10032,5,402;332;330;298;262;226;188;152;149;153;157;343;201;207;243;279;315;336;407,34.047098
10030,10002,1,402;306;270;234;196;160;124;118;84;78;44;8;347,22.950923
10030,10002,2,402;306;270;234;228;224;188;152;116;80;44;8;347,22.992081
10030,10002,3,402;306;270;234;196;160;124;88;52;16;10;6;347,23.009393
10030,10002,4,402;332;302;266;230;192;156;120;84;48;12;6;347,23.009808
10030,10002,5,402;332;330;298;262;226;188;152;116;80;44;8;347,23.010391
10030,10002,6,402;306;270;264;230;192;156;120;84;48;12;6;347,23.053927
10030,10002,7,402;306;300;266;230;192;156;120;114;110;76;40;4;1;347,26.969841
10030,10002,8,402;333;308;272;236;200;162;126;90;54;50;46;42;8;347,27.043146
10030,10015,1,402;306;300;266;260;226;220;184;148;112;373,18.96463
10030,10015,2,402;306;300;266;230;192;156;120;114;110;373,18.999568
10030,10015,3,402;332;302;266;230;192;156;150;116;110;373,18.999769
10030,10015,4,402;332;302;296;262;256;222;184;148;112;373,19.01256
10030,10015,5,402;332;330;328;294;258;222;184;148;112;373,19.01731
10030,10015,6,402;332;330;298;262;226;188;152;116;110;373,19.03006
10030,10015,7,402;306;270;234;228;224;188;152;146;112;373,19.030082
10030,10015,8,402;306;270;264;230;192;186;182;148;112;373,19.080815
10030,10008,1,402;306;270;234;196;193;197;166;130;94;58;22;19;23;359,26.954955
10030,10008,2,402;306;270;234;231;200;197;166;130;127;98;62;59;30;359,27.033854
10030,10008,3,402;306;303;272;236;200;197;201;170;134;98;95;66;30;359,27.050054
10030,10008,4,402;333;308;272;236;200;162;343;166;130;94;91;62;26;23;359,28.019028
10030,10008,5,402;333;308;272;236;200;162;343;201;170;167;138;102;66;30;359,28.028372
10030,10008,6,402;306;270;234;196;193;197;166;163;134;131;102;99;70;34;28;359,31.050229
10030,10008,7,402;333;308;272;236;200;162;343;201;205;174;138;135;106;70;34;28;359,32.084693
10030,10008,8,402;332;330;298;262;226;188;152;149;153;157;343;166;130;94;58;55;26;23;359,36.010028
10030,10016,1,402;306;270;234;196;193;197;166;163;134;131;135;139;375,24.958861
10030,10016,2,402;306;270;234;231;200;197;166;130;127;131;135;139;375,25.004417
10030,10016,3,402;306;303;272;236;200;197;201;205;174;171;142;139;375,25.025464
10030,10016,4,402;333;308;272;236;200;162;343;201;205;174;138;135;139;375,26.018019
10030,10016,5,402;333;308;272;236;200;162;343;201;170;167;171;175;144;375,26.020174
10030,10016,6,402;333;308;272;236;200;162;343;166;130;94;91;95;99;103;107;375,30.025855
10030,10016,7,402;332;330;298;262;226;188;152;149;153;157;343;166;163;167;171;175;144;375,33.98704
10030,10025,1,402;306;300;296;292;393,8.991064
10030,10025,2,402;332;302;296;292;393,8.997196
10030,10025,3,402;332;330;328;294;393,9.012818
10030,10025,4,402;332;330;298;292;393,9.017863
10030,10020,1,402;306;270;234;196;193;197;201;205;209;213;383,21.015907
10030,10020,2,402;306;303;272;236;200;197;201;205;209;213;383,21.072337
10030,10020,3,402;333;308;272;236;200;162;343;201;205;209;213;383,22.062587
10030,10020,4,402;306;270;234;196;193;197;203;237;241;245;249;218;383,24.991336
10030,10020,5,402;306;270;234;231;200;197;166;163;167;171;175;179;383,25.025569
10030,10020,6,402;332;330;298;262;226;188;152;149;153;157;343;166;163;167;171;175;179;383,34.000299
10030,10022,1,402;306;270;234;196;193;197;201;205;209;213;217;387,23.000061
10030,10022,2,402;306;270;234;196;193;197;203;237;241;245;249;387,23.007182
10030,10022,3,402;306;303;272;236;200;197;201;205;209;215;249;387,23.077884
10030,10022,4,402;306;270;234;231;200;197;201;207;241;245;249;387,23.087528
10030,10022,5,402;333;308;272;236;200;162;343;201;205;209;213;217;387,24.046741
10030,10022,6,402;333;308;272;236;200;162;343;203;237;241;245;249;387,24.053862
10030,10022,7,402;333;308;272;236;200;162;343;203;237;243;277;281;285;254;387,28.009454
10030,10022,8,402;332;330;298;262;226;188;152;149;153;157;343;201;207;241;247;281;285;254;387,36.011724
10029,10033,1,400;302;266;263;234;196;193;197;203;239;273;279;315;409,24.944732
10029,10033,2,400;302;299;270;234;196;193;197;201;207;243;279;315;409,24.992546
10029,10033,3,400;302;299;270;267;236;200;197;203;239;275;309;315;409,25.032085
10029,10033,4,400;331;306;270;234;231;200;197;203;239;275;311;335;409,25.06188
10029,10033,5,400;302;266;230;192;156;153;157;343;203;237;243;279;315;409,25.986339
10029,10033,6,400;331;306;270;234;196;160;157;343;203;239;275;311;335;409,26.034985
10029,10033,7,400;331;333;308;272;236;200;162;343;203;239;275;311;335;409,26.065467
10029,10033,8,400;331;306;303;272;236;200;162;343;166;163;167;173;211;247;283;319;338;409,34.109074
10029,10017,1,400;302;266;260;226;220;184;148;377,14.974152
10029,10017,2,400;302;266;230;224;188;182;148;377,14.995945
10029,10017,3,400;302;296;292;258;222;184;148;377,15.005078
10029,10017,4,400;330;328;294;258;222;184;148;377,15.0207
10029,10017,5,400;302;266;230;192;156;150;146;377,15.021491
10029,10017,6,400;330;298;262;226;188;152;146;377,15.051782
10029,10001,1,400;302;266;260;226;220;184;148;112;76;40;4;345,22.939633
10029,10001,2,400;302;266;230;192;156;120;84;78;44;8;2;345,22.967025
10029,10001,3,400;302;266;230;192;156;120;114;110;76;40;4;345,22.974571
10029,10001,4,400;302;266;230;192;156;120;84;48;42;38;4;345,22.975864
10029,10001,5,400;330;298;262;226;188;152;116;80;74;40;4;345,23.001678
10029,10001,6,400;330;298;262;226;188;152;116;80;44;8;2;345,23.005179
10029,10024,1,400;302;266;263;234;196;193;197;203;237;241;247;281;285;391,26.924228
10029,10024,2,400;302;299;270;267;236;200;197;203;237;241;245;251;285;391,27.00633
10029,10024,3,400;302;266;230;192;156;153;157;343;203;237;243;277;281;285;391,27.971899
10029,10024,4,400;331;306;270;234;196;160;157;343;203;237;241;245;251;285;391,28.006191
10029,10024,5,400;331;333;308;272;236;200;162;343;201;207;241;245;249;253;391,28.08519
10029,10024,6,400;302;299;270;234;196;193;197;201;207;243;279;313;317;321;290;391,30.997379
10029,10024,7,400;331;306;270;234;231;200;197;201;207;243;277;283;317;321;290;391,31.101478
10029,10024,8,400;331;306;303;272;236;200;162;343;166;163;167;173;211;247;281;285;391,32.046844
10029,10010,1,400;302;266;263;234;196;193;197;166;163;134;131;135;139;108;72;36;363,32.920935
10029,10010,2,400;302;299;270;234;196;193;197;201;170;134;98;62;59;63;67;36;363,33.002569
10029,10010,3,400;302;299;270;267;236;200;197;166;130;94;91;62;59;30;27;31;363,33.004671
10029,10010,4,400;331;306;270;234;231;200;197;166;130;127;98;95;99;70;34;31;363,33.142328
10029,10010,5,400;302;266;230;192;156;153;157;343;201;170;167;138;102;66;63;67;36;363,34.022732
10029,10010,6,400;331;333;308;272;236;200;162;343;166;130;94;58;22;19;23;27;31;363,34.031968
10029,10010,7,400;331;306;303;272;236;200;162;343;166;163;134;131;135;106;103;72;36;363,34.038208
10029,10010,8,400;331;306;270;234;196;160;157;343;166;130;94;58;55;26;23;27;31;363,34.038736
10029,10005,1,400;302;266;263;234;196;160;124;88;52;16;13;353,22.937845
10029,10005,2,400;302;266;230;192;156;120;84;48;12;9;13;353,22.977233
10029,10005,3,400;331;306;270;234;196;160;124;88;52;16;13;353,22.982804
10029,10005,4,400;331;306;270;234;196;160;124;88;52;49;18;353,22.987864
10029,10005,5,400;302;266;230;192;156;120;117;121;90;54;18;353,23.008414
10029,10005,6,400;302;299;270;234;196;193;162;126;90;54;18;353,23.011695
10029,10005,7,400;331;333;308;272;236;200;162;126;90;54;18;353,23.0896
10029,10005,8,400;330;298;262;226;188;152;116;80;77;48;45;16;13;353,26.982786
10029,10022,1,400;302;266;263;234;196;193;197;201;205;209;213;217;387,24.958409
10029,10022,2,400;302;299;270;267;236;200;197;201;205;209;213;217;387,25.019705
10029,10022,3,400;331;306;270;234;196;160;157;343;203;237;241;245;249;387,26.026687
10029,10022,4,400;302;266;230;192;156;153;157;343;201;205;211;245;249;387,26.051919
10029,10022,5,400;331;333;308;272;236;200;162;343;201;207;241;245;249;387,26.094422
10029,10022,6,400;331;306;270;234;231;200;197;166;163;167;171;177;215;249;387,29.065364
10029,10022,7,400;331;306;303;272;236;200;162;343;166;163;167;171;177;215;249;387,30.081936
10029,10022,8,400;302;299;270;234;196;193;197;201;207;243;279;313;317;321;290;254;387,32.988147
10029,10020,1,400;302;266;263;234;196;193;197;201;205;209;213;383,22.974255
10029,10020,2,400;302;299;270;234;196;193;197;201;205;209;213;383,22.984754
10029,10020,3,400;302;299;270;267;236;200;197;201;205;209;213;383,23.035551
10029,10020,4,400;331;333;308;272;236;200;162;343;201;205;209;213;383,24.065894
10029,10020,5,400;331;306;270;234;231;200;197;166;163;167;171;175;179;383,27.028876
10029,10020,6,400;302;266;230;192;156;153;157;343;201;170;167;171;175;179;383,27.986646
10029,10020,7,400;331;306;303;272;236;200;162;343;166;163;167;171;175;179;383,28.045448
10029,10020,8,400;331;306;270;234;196;160;157;343;166;130;127;131;135;139;143;179;383,31.975672
10036,10013,1,414;326;290;286;282;248;242;238;204;198;194;160;124;118;84;78;74;369,32.917669
10036,10013,2,414;342;340;338;316;280;244;238;204;198;194;160;154;150;116;110;76;369,32.990213
