node_id,node_type,zone_id,x_coord,y_coord
10001,centroid,1,-0.4,0.4
10002,centroid,2,1,0.4
10003,centroid,3,2,0.4
10004,centroid,4,3,0.4
10005,centroid,5,4.4,0.4
10006,centroid,6,-0.4,-1
10007,centroid,7,4.4,-1
10008,centroid,8,-0.4,-2
10009,centroid,9,4.4,-2
10010,centroid,10,-0.4,-3
10011,centroid,11,4.4,-3
10012,centroid,12,-0.4,-4.4
10013,centroid,13,1,-4.4
10014,centroid,14,2,-4.4
10015,centroid,15,3,-4.4
10016,centroid,16,4.4,-4.4
1,intersection,,0,0
2,intersection,,1,0
3,intersection,,2,0
4,intersection,,3,0
5,intersection,,4,0
6,intersection,,0,-1
7,intersection,,1,-1
8,intersection,,2,-1
9,intersection,,3,-1
10,intersection,,4,-1
11,intersection,,0,-2
12,intersection,,1,-2
13,intersection,,2,-2
14,intersection,,3,-2
15,intersection,,4,-2
16,intersection,,0,-3
17,intersection,,1,-3
18,intersection,,2,-3
19,intersection,,3,-3
20,intersection,,4,-3
21,intersection,,0,-4
22,intersection,,1,-4
23,intersection,,2,-4
24,intersection,,3,-4
25,intersection,,4,-4
