instance,arm,iterations,gap,time_s,tstt,sp_calls,cols_active,cols_generated,cols_folded,atoms,certified,recomputed_gap
sioux_falls,p0,32,9.653829169767381e-06,0.102,7478912.61,792,664,1615,0,0,True,9.653538023732078e-06
sioux_falls,ol1_k2,31,9.105356399698318e-06,0.131,7478847.35,768,653,1822,107,21,True,9.105319634392054e-06
sioux_falls,ol1_k4,32,9.514739226450197e-06,0.12,7478913.19,792,662,1627,14,1,True,9.514383863337676e-06
sioux_falls,ol1_k8,32,9.653829169767381e-06,0.085,7478912.61,792,664,1615,0,0,True,9.653538023732078e-06
sioux_falls,tapb_B,7,7.02697448e-06,0.09,7479457.47,,,,,,,
anaheim,p0,7,7.460582928336595e-06,0.237,1419926.03,304,1507,1090,0,0,True,7.460164465170681e-06
anaheim,ol1_k2,7,7.417486725128259e-06,0.134,1419926.12,304,1499,1091,9,7,True,7.417267741385721e-06
anaheim,ol1_k4,7,7.460582928336595e-06,0.218,1419926.03,304,1507,1090,0,0,True,7.460164465170681e-06
anaheim,ol1_k8,7,7.460582928336595e-06,0.233,1419926.03,304,1507,1090,0,0,True,7.460164465170681e-06
anaheim,tapb_B,5,2.577859217e-06,0.14,1419894.24,,,,,,,
forge/grid12_rich_s7,p0,239,9.935164927497017e-06,0.706,460659.83,960,209,1302,0,0,True,9.937676550843966e-06
forge/grid12_rich_s7,ol1_k2,432,9.548473457794943e-06,1.702,460665.46,1732,38,4676,2246,12,True,9.547716137329806e-06
forge/grid12_rich_s7,ol1_k4,112,8.91512611280704e-06,0.462,460664.44,452,63,1137,525,12,True,8.910756231619896e-06
forge/grid12_rich_s7,ol1_k8,197,9.592211921132992e-06,1.097,460657.17,792,95,1533,496,8,True,9.593579005132515e-06
forge/grid12_rich_s7,tapb_B,7,4.606193437e-06,0.14,460663.38,,,,,,,
forge/grid20_rich_s11,p0,197,9.62433100213265e-06,5.638,906764.25,1584,1109,6184,0,0,True,9.624279087426507e-06
forge/grid20_rich_s11,ol1_k2,1000,9.893476884163179e-06,19.792,906756.55,8008,158,43778,20333,50,True,9.88892556269781e-06
forge/grid20_rich_s11,ol1_k4,525,9.911642306005685e-06,9.673,906759.71,4208,252,20439,7243,48,True,9.908266290847868e-06
forge/grid20_rich_s11,ol1_k8,306,9.684210928921831e-06,4.383,906758.1,2456,422,10534,2758,38,True,9.687569712994776e-06
forge/grid20_rich_s11,tapb_B,9,9.410621273e-06,0.29,906770.72,,,,,,,
forge/grid16_one2many_s3,p0,16,8.829704350768265e-06,0.024,46308.67,17,45,125,0,0,True,8.860053120973779e-06
forge/grid16_one2many_s3,ol1_k2,15,8.768436566567866e-06,0.023,46308.78,16,31,119,18,7,True,8.72544408183382e-06
forge/grid16_one2many_s3,ol1_k4,16,6.633346912044956e-06,0.027,46308.67,17,40,125,7,1,True,6.715535248559281e-06
forge/grid16_one2many_s3,ol1_k8,16,8.829704350768265e-06,0.023,46308.67,17,45,125,0,0,True,8.860053120973779e-06
forge/grid16_one2many_s3,tapb_B,4,8.655785079e-06,0.14,46308.7,,,,,,,
chicago_sketch,p0,16,7.62512040973713e-06,21.843,22303317.74,6562,102251,277908,0,0,True,7.625476855813416e-06
chicago_sketch,ol1_k2,16,7.232316729179443e-06,30.122,22303347.41,6562,102193,278623,146,120,True,7.232366267951938e-06
chicago_sketch,ol1_k4,16,7.62512040973713e-06,29.483,22303317.74,6562,102251,277908,0,0,True,7.625476855813416e-06
chicago_sketch,ol1_k8,16,7.62512040973713e-06,30.753,22303317.74,6562,102251,277908,0,0,True,7.625476855813416e-06
chicago_sketch,tapb_B,7,4.318925651e-06,1.17,22303374.61,,,,,,,
