instance,demand_scale,capacity_scale,full_s,comp_s,speedup,full_gap,comp_gap,obj_err,cum_full,cum_comp
sioux_falls,0.9,1.0,0.2339,0.174,1.34,5.307541360026245e-07,8.204582937488933e-07,1.1746786970141924e-10,0.234,1.283
sioux_falls,0.95,1.0,0.3272,0.2294,1.43,9.338901623174663e-07,8.706561478132916e-07,1.1110657951053488e-11,0.561,1.513
sioux_falls,1.05,1.0,0.4312,0.4776,0.9,7.895459187856791e-07,9.709210223893195e-07,1.9821022669893104e-10,0.992,1.99
sioux_falls,1.1,1.0,0.9372,1.0496,0.89,9.311806668467942e-07,9.874241832082564e-07,1.0665087810778412e-05,1.929,3.04
sioux_falls,1.2,1.0,0.5232,0.5246,1.0,8.485052311819568e-07,9.987294067546498e-07,7.516817471134426e-05,2.453,3.564
sioux_falls,1.0,0.9,1.3352,0.5573,2.4,9.8547696249905e-07,9.408750114399936e-07,2.1536290490359427e-05,3.788,4.122
sioux_falls,1.1,0.9,0.5355,0.1665,3.22,9.274313428400248e-07,7.736965938326075e-07,8.757612991293954e-05,4.323,4.288
sioux_falls,1.3,1.0,0.7532,0.4862,1.55,9.809163010587133e-07,9.1344669846077e-07,0.00013723376341994762,5.077,4.774
forge/ladder_grid20,0.9,1.0,4.6337,4.5701,1.01,1.6874518989105728e-05,4.717906090493211e-06,2.3534870572217647e-07,4.634,6.988
forge/ladder_grid20,0.95,1.0,1.8718,0.8405,2.23,9.664896162008696e-07,9.36432959020472e-07,1.3187487777899444e-08,6.505,7.828
forge/ladder_grid20,1.05,1.0,2.5719,1.288,2.0,9.458209579097512e-07,9.940511207106281e-07,2.670813898608048e-08,9.077,9.116
forge/ladder_grid20,1.1,1.0,2.498,0.9605,2.6,9.944268181251424e-07,9.099037888013474e-07,2.24990324703086e-07,11.575,10.077
forge/ladder_grid20,1.2,1.0,2.145,0.6975,3.08,9.738024617508043e-07,9.994369305192954e-07,3.017608055018766e-06,13.72,10.774
forge/ladder_grid20,1.0,0.9,2.5221,0.7172,3.52,9.740780152669485e-07,9.99274783546539e-07,2.970124499826573e-07,16.242,11.492
forge/ladder_grid20,1.1,0.9,1.9771,0.581,3.4,9.366966319874202e-07,9.727668764771944e-07,4.117699031123183e-06,18.22,12.073
forge/ladder_grid20,1.3,1.0,1.8843,0.4925,3.83,8.213425728473271e-07,9.943061354729363e-07,8.923686614045626e-06,20.104,12.565
