link_id,from_node_id,to_node_id,link_type,directed,length,lanes,capacity,free_speed,vdf_fftt,vdf_alpha,vdf_beta,allowed_uses
1,1,2,arterial,1,6,1,25900.2006,60,6,0.15,4,auto
2,1,3,arterial,1,4,1,23403.4732,60,4,0.15,4,auto
3,2,1,arterial,1,6,1,25900.2006,60,6,0.15,4,auto
4,2,6,arterial,1,5,1,4958.1809,60,5,0.15,4,auto
5,3,1,arterial,1,4,1,23403.4732,60,4,0.15,4,auto
6,3,4,arterial,1,4,1,17110.5237,60,4,0.15,4,auto
7,3,12,arterial,1,4,1,23403.4732,60,4,0.15,4,auto
8,4,3,arterial,1,4,1,17110.5237,60,4,0.15,4,auto
9,4,5,arterial,1,2,1,17782.7941,60,2,0.15,4,auto
10,4,11,arterial,1,6,1,4908.8267,60,6,0.15,4,auto
11,5,4,arterial,1,2,1,17782.7941,60,2,0.15,4,auto
12,5,6,arterial,1,4,1,4947.9955,60,4,0.15,4,auto
13,5,9,arterial,1,5,1,10000.0000,60,5,0.15,4,auto
14,6,2,arterial,1,5,1,4958.1809,60,5,0.15,4,auto
15,6,5,arterial,1,4,1,4947.9955,60,4,0.15,4,auto
16,6,8,arterial,1,2,1,4898.5876,60,2,0.15,4,auto
17,7,8,arterial,1,3,1,7841.8113,60,3,0.15,4,auto
18,7,18,arterial,1,2,1,23403.4732,60,2,0.15,4,auto
19,8,6,arterial,1,2,1,4898.5876,60,2,0.15,4,auto
20,8,7,arterial,1,3,1,7841.8113,60,3,0.15,4,auto
21,8,9,arterial,1,10,1,5050.1932,60,10,0.15,4,auto
22,8,16,arterial,1,5,1,5045.8226,60,5,0.15,4,auto
23,9,5,arterial,1,5,1,10000.0000,60,5,0.15,4,auto
24,9,8,arterial,1,10,1,5050.1932,60,10,0.15,4,auto
25,9,10,arterial,1,3,1,13915.7884,60,3,0.15,4,auto
26,10,9,arterial,1,3,1,13915.7884,60,3,0.15,4,auto
27,10,11,arterial,1,5,1,10000.0000,60,5,0.15,4,auto
28,10,15,arterial,1,6,1,13512.0016,60,6,0.15,4,auto
29,10,16,arterial,1,4,1,4854.9177,60,4,0.15,4,auto
30,10,17,arterial,1,8,1,4993.5107,60,8,0.15,4,auto
31,11,4,arterial,1,6,1,4908.8267,60,6,0.15,4,auto
32,11,10,arterial,1,5,1,10000.0000,60,5,0.15,4,auto
33,11,12,arterial,1,6,1,4908.8267,60,6,0.15,4,auto
34,11,14,arterial,1,4,1,4876.5083,60,4,0.15,4,auto
35,12,3,arterial,1,4,1,23403.4732,60,4,0.15,4,auto
36,12,11,arterial,1,6,1,4908.8267,60,6,0.15,4,auto
37,12,13,arterial,1,3,1,25900.2006,60,3,0.15,4,auto
38,13,12,arterial,1,3,1,25900.2006,60,3,0.15,4,auto
39,13,24,arterial,1,4,1,5091.2562,60,4,0.15,4,auto
40,14,11,arterial,1,4,1,4876.5083,60,4,0.15,4,auto
41,14,15,arterial,1,5,1,5127.5261,60,5,0.15,4,auto
42,14,23,arterial,1,4,1,4924.7906,60,4,0.15,4,auto
43,15,10,arterial,1,6,1,13512.0016,60,6,0.15,4,auto
44,15,14,arterial,1,5,1,5127.5261,60,5,0.15,4,auto
45,15,19,arterial,1,3,1,14564.7532,60,3,0.15,4,auto
46,15,22,arterial,1,3,1,9599.1806,60,3,0.15,4,auto
47,16,8,arterial,1,5,1,5045.8226,60,5,0.15,4,auto
48,16,10,arterial,1,4,1,4854.9177,60,4,0.15,4,auto
49,16,17,arterial,1,2,1,5229.9101,60,2,0.15,4,auto
50,16,18,arterial,1,3,1,19679.8967,60,3,0.15,4,auto
51,17,10,arterial,1,8,1,4993.5107,60,8,0.15,4,auto
52,17,16,arterial,1,2,1,5229.9101,60,2,0.15,4,auto
53,17,19,arterial,1,2,1,4823.9508,60,2,0.15,4,auto
54,18,7,arterial,1,2,1,23403.4732,60,2,0.15,4,auto
55,18,16,arterial,1,3,1,19679.8967,60,3,0.15,4,auto
56,18,20,arterial,1,4,1,23403.4732,60,4,0.15,4,auto
57,19,15,arterial,1,3,1,14564.7532,60,3,0.15,4,auto
58,19,17,arterial,1,2,1,4823.9508,60,2,0.15,4,auto
59,19,20,arterial,1,4,1,5002.6076,60,4,0.15,4,auto
60,20,18,arterial,1,4,1,23403.4732,60,4,0.15,4,auto
61,20,19,arterial,1,4,1,5002.6076,60,4,0.15,4,auto
62,20,21,arterial,1,6,1,5059.9123,60,6,0.15,4,auto
63,20,22,arterial,1,5,1,5075.6972,60,5,0.15,4,auto
64,21,20,arterial,1,6,1,5059.9123,60,6,0.15,4,auto
65,21,22,arterial,1,2,1,5229.9101,60,2,0.15,4,auto
66,21,24,arterial,1,3,1,4885.3576,60,3,0.15,4,auto
67,22,15,arterial,1,3,1,9599.1806,60,3,0.15,4,auto
68,22,20,arterial,1,5,1,5075.6972,60,5,0.15,4,auto
69,22,21,arterial,1,2,1,5229.9101,60,2,0.15,4,auto
70,22,23,arterial,1,4,1,5000.0000,60,4,0.15,4,auto
71,23,14,arterial,1,4,1,4924.7906,60,4,0.15,4,auto
72,23,22,arterial,1,4,1,5000.0000,60,4,0.15,4,auto
73,23,24,arterial,1,2,1,5078.5084,60,2,0.15,4,auto
74,24,13,arterial,1,4,1,5091.2562,60,4,0.15,4,auto
75,24,21,arterial,1,3,1,4885.3576,60,3,0.15,4,auto
76,24,23,arterial,1,2,1,5078.5084,60,2,0.15,4,auto
