o_zone_id,d_zone_id,volume,period,agent_type
1,2,1365.9000,AM,auto
1,3,407.4000,AM,auto
1,4,861.4000,AM,auto
1,5,354.4000,AM,auto
1,6,545.1000,AM,auto
1,7,431.5000,AM,auto
1,8,1.0000,AM,auto
1,9,56.8000,AM,auto
1,10,75.3000,AM,auto
1,11,1.0000,AM,auto
1,12,37.9000,AM,auto
1,13,48.5000,AM,auto
1,14,1.0000,AM,auto
1,15,185.9000,AM,auto
1,16,12.1000,AM,auto
1,17,81.1000,AM,auto
1,18,126.6000,AM,auto
1,19,67.2000,AM,auto
1,20,382.4000,AM,auto
1,21,101.6000,AM,auto
1,22,71.7000,AM,auto
1,23,25.8000,AM,auto
1,24,21.1000,AM,auto
1,25,665.1000,AM,auto
1,26,29.0000,AM,auto
1,27,18.9000,AM,auto
1,28,75.9000,AM,auto
1,29,139.1000,AM,auto
1,30,119.1000,AM,auto
1,31,295.6000,AM,auto
1,32,85.9000,AM,auto
1,33,74.3000,AM,auto
1,34,96.4000,AM,auto
1,35,53.6000,AM,auto
1,36,37.9000,AM,auto
1,37,13.7000,AM,auto
1,38,107.7000,AM,auto
2,1,1171.2000,AM,auto
2,3,608.1000,AM,auto
2,4,1271.4000,AM,auto
2,5,542.3000,AM,auto
2,6,808.4000,AM,auto
2,7,629.1000,AM,auto
2,8,1.0000,AM,auto
2,9,74.9000,AM,auto
2,10,87.3000,AM,auto
2,11,1.0000,AM,auto
2,12,48.1000,AM,auto
2,13,63.9000,AM,auto
2,14,1.0000,AM,auto
2,15,566.3000,AM,auto
2,16,22.0000,AM,auto
2,17,107.5000,AM,auto
2,18,213.9000,AM,auto
2,19,101.1000,AM,auto
2,20,511.1000,AM,auto
2,21,156.8000,AM,auto
2,22,105.2000,AM,auto
2,23,39.0000,AM,auto
2,24,47.6000,AM,auto
2,25,942.1000,AM,auto
2,26,51.8000,AM,auto
2,27,27.7000,AM,auto
2,28,111.9000,AM,auto
2,29,194.1000,AM,auto
2,30,194.8000,AM,auto
2,31,329.9000,AM,auto
2,32,95.1000,AM,auto
2,33,79.1000,AM,auto
2,34,134.9000,AM,auto
2,35,81.3000,AM,auto
2,36,55.1000,AM,auto
2,37,19.6000,AM,auto
2,38,166.9000,AM,auto
3,1,721.1000,AM,auto
3,2,1237.9000,AM,auto
3,4,1107.9000,AM,auto
3,5,386.6000,AM,auto
3,6,582.8000,AM,auto
3,7,457.9000,AM,auto
3,8,1.0000,AM,auto
3,9,57.1000,AM,auto
3,10,62.4000,AM,auto
3,11,1.0000,AM,auto
3,12,33.4000,AM,auto
3,13,37.2000,AM,auto
3,14,1.0000,AM,auto
3,15,241.6000,AM,auto
3,16,15.6000,AM,auto
3,17,102.6000,AM,auto
3,18,159.1000,AM,auto
3,19,71.1000,AM,auto
3,20,385.6000,AM,auto
3,21,109.6000,AM,auto
3,22,78.1000,AM,auto
3,23,25.1000,AM,auto
3,24,32.8000,AM,auto
3,25,687.5000,AM,auto
3,26,27.3000,AM,auto
3,27,21.4000,AM,auto
3,28,82.9000,AM,auto
3,29,109.6000,AM,auto
3,30,132.1000,AM,auto
3,31,234.5000,AM,auto
3,32,69.9000,AM,auto
3,33,61.1000,AM,auto
3,34,101.6000,AM,auto
3,35,58.7000,AM,auto
3,36,43.4000,AM,auto
3,37,13.6000,AM,auto
