o_zone_id,d_zone_id,volume,period,agent_type
1,2,51.85,AM,auto
1,3,51.85,AM,auto
1,4,51.85,AM,auto
1,5,51.85,AM,auto
1,6,51.85,AM,auto
1,7,51.85,AM,auto
1,8,51.85,AM,auto
1,9,51.85,AM,auto
1,10,51.85,AM,auto
1,11,51.85,AM,auto
1,12,51.85,AM,auto
1,13,51.85,AM,auto
1,14,51.85,AM,auto
1,15,51.85,AM,auto
1,16,51.85,AM,auto
1,17,51.85,AM,auto
1,18,51.85,AM,auto
1,19,51.85,AM,auto
1,20,51.85,AM,auto
1,21,51.85,AM,auto
1,22,51.85,AM,auto
1,23,51.85,AM,auto
1,24,51.85,AM,auto
1,25,51.85,AM,auto
1,26,51.85,AM,auto
1,27,51.85,AM,auto
1,28,51.85,AM,auto
