iteration,relative_gap,wall_time_s
1,9.130638267997767,0.0
2,0.8174940227228077,0.0
3,0.2961995648645263,0.0
4,0.1966591561646486,0.004752635955810547
5,0.24086064675387933,0.004752635955810547
6,0.11107603771996205,0.004752635955810547
7,0.14660806125200196,0.004752635955810547
8,0.06771395336311024,0.004752635955810547
9,0.08183111781600452,0.004752635955810547
10,0.04839688398049925,0.009820222854614258
11,0.07054645814956527,0.011195182800292969
12,0.0329562613394283,0.011195182800292969
13,0.04775726771265357,0.011195182800292969
14,0.026105981411170313,0.011195182800292969
15,0.04150125014951946,0.014976263046264648
16,0.017368427486666425,0.017517566680908203
17,0.030101578089205366,0.019524812698364258
18,0.016507849368342452,0.021530866622924805
19,0.01734600165631122,0.021530866622924805
20,0.01349095829854041,0.021530866622924805
21,0.01451347343965297,0.021530866622924805
22,0.012062892068755401,0.024776458740234375
23,0.010892883990281578,0.024776458740234375
24,0.011255733049134116,0.024776458740234375
25,0.009671265946024932,0.024776458740234375
26,0.012446967102401625,0.024776458740234375
27,0.007941964671890449,0.024776458740234375
28,0.014036481828589676,0.029793500900268555
29,0.006750513472628087,0.032331228256225586
30,0.006961806614036154,0.032331228256225586
31,0.00911406036997821,0.032331228256225586
32,0.005941174239259632,0.03902435302734375
33,0.006331788185092042,0.04105782508850098
34,0.006048485176064172,0.04246211051940918
35,0.008510330559939596,0.04246211051940918
36,0.004647566289266596,0.04246211051940918
37,0.005281138210738242,0.04891490936279297
38,0.00477462756725679,0.04891490936279297
39,0.005135913040720191,0.04891490936279297
40,0.004400376361086078,0.04891490936279297
41,0.005791494307237554,0.05376553535461426
42,0.004191853353481085,0.05376553535461426
43,0.0045469239902761254,0.05376553535461426
44,0.0041585868225659075,0.05376553535461426
45,0.004163212485375666,0.05376553535461426
46,0.003665197626966872,0.05376553535461426
47,0.0042398454672952675,0.058854103088378906
48,0.003935382554439616,0.058854103088378906
49,0.003084923701659864,0.058854103088378906
50,0.003843732450534411,0.058854103088378906
51,0.003460083090035488,0.058854103088378906
52,0.0031439358523100195,0.058854103088378906
53,0.002840940488062738,0.06396293640136719
