o_zone_id,d_zone_id,volume,period,agent_type
1,2,63.8028,AM,auto
1,3,471.8195,AM,auto
1,7,918.4885,AM,auto
1,21,28.7730,AM,auto
1,22,31.6818,AM,auto
1,29,29.6816,AM,auto
1,30,8.6063,AM,auto
1,31,8.6063,AM,auto
1,32,8.6063,AM,auto
1,33,8.6063,AM,auto
1,36,11.7222,AM,auto
1,37,20.4280,AM,auto
1,38,20.4280,AM,auto
1,39,20.4280,AM,auto
1,40,20.4280,AM,auto
1,42,23.3943,AM,auto
1,48,14.5753,AM,auto
1,49,8.5055,AM,auto
1,50,9.0779,AM,auto
1,51,9.0779,AM,auto
1,52,4.4840,AM,auto
1,53,4.4523,AM,auto
1,54,1.8751,AM,auto
1,59,2.0235,AM,auto
1,60,2.0235,AM,auto
1,61,1.8802,AM,auto
1,62,1.9368,AM,auto
1,63,1.9368,AM,auto
1,64,1.9368,AM,auto
1,65,1.9368,AM,auto
1,66,1.9368,AM,auto
1,67,1.9484,AM,auto
1,69,1.9655,AM,auto
2,1,44.6108,AM,auto
2,3,118.6522,AM,auto
2,6,381.4119,AM,auto
2,10,167.1954,AM,auto
2,13,104.2836,AM,auto
2,14,104.2836,AM,auto
2,16,90.9516,AM,auto
2,17,90.9516,AM,auto
2,18,90.9516,AM,auto
3,1,67.6397,AM,auto
3,2,72.0705,AM,auto
3,12,134.7762,AM,auto
6,1,56.9360,AM,auto
6,2,320.6434,AM,auto
6,3,329.2304,AM,auto
6,10,957.7002,AM,auto
6,13,136.9414,AM,auto
6,14,136.9414,AM,auto
6,16,181.4179,AM,auto
6,17,181.4179,AM,auto
6,18,181.4179,AM,auto
6,21,54.3230,AM,auto
6,22,64.7770,AM,auto
6,29,60.6977,AM,auto
6,37,30.9470,AM,auto
6,38,30.9470,AM,auto
6,39,30.9470,AM,auto
6,40,30.9470,AM,auto
6,42,32.8512,AM,auto
6,48,20.7584,AM,auto
6,49,10.0507,AM,auto
6,50,11.0075,AM,auto
6,51,11.0075,AM,auto
6,52,4.8306,AM,auto
6,53,4.8543,AM,auto
7,1,724.7689,AM,auto
10,1,4.4483,AM,auto
10,2,465.6772,AM,auto
10,3,4.6057,AM,auto
10,6,190.6358,AM,auto
10,13,4.5256,AM,auto
10,14,4.5256,AM,auto
10,22,21.5655,AM,auto
10,29,20.7320,AM,auto
10,37,15.8657,AM,auto
10,38,15.8657,AM,auto
10,39,15.8657,AM,auto
10,40,15.8657,AM,auto
10,42,17.1781,AM,auto
10,48,12.1954,AM,auto
10,49,7.6514,AM,auto
10,50,8.1543,AM,auto
10,51,8.1543,AM,auto
10,52,4.2847,AM,auto
10,53,4.2637,AM,auto
12,1,35.2559,AM,auto
12,3,123.0409,AM,auto
12,55,146.2853,AM,auto
12,56,146.2853,AM,auto
13,3,86.7881,AM,auto
13,20,29.5391,AM,auto
13,21,46.7684,AM,auto
13,22,51.4009,AM,auto
13,29,54.5253,AM,auto
13,30,10.8795,AM,auto
13,31,10.8795,AM,auto
13,32,10.8795,AM,auto
13,33,10.8795,AM,auto
13,37,30.0483,AM,auto
13,38,30.0483,AM,auto
13,39,30.0483,AM,auto
13,40,30.0483,AM,auto
13,42,32.0764,AM,auto
13,48,18.6125,AM,auto
13,49,9.8396,AM,auto
13,50,10.6629,AM,auto
13,51,10.6629,AM,auto
13,52,4.7781,AM,auto
13,53,4.7836,AM,auto
13,54,1.9508,AM,auto
13,59,2.0347,AM,auto
13,60,2.0347,AM,auto
13,61,2.0192,AM,auto
13,62,2.0071,AM,auto
13,63,2.0071,AM,auto
13,64,2.0071,AM,auto
13,65,2.0071,AM,auto
13,66,2.0071,AM,auto
13,67,2.0125,AM,auto
13,69,9.5687,AM,auto
14,3,86.7881,AM,auto
14,20,29.5391,AM,auto
