o_zone_id,d_zone_id,volume,period,agent_type
1,1,273.1800,AM,auto
1,2,347.3100,AM,auto
1,3,390.8100,AM,auto
1,4,204.5100,AM,auto
1,5,373.7300,AM,auto
1,6,199.7000,AM,auto
1,7,119.6900,AM,auto
1,8,96.2300,AM,auto
1,9,39.5300,AM,auto
1,10,75.7200,AM,auto
1,11,24.0200,AM,auto
1,12,27.7100,AM,auto
1,13,32.9800,AM,auto
1,14,124.3100,AM,auto
1,15,72.6600,AM,auto
1,16,124.8300,AM,auto
1,17,311.1700,AM,auto
1,18,157.0000,AM,auto
1,19,32.4300,AM,auto
1,20,13.3800,AM,auto
1,21,17.4700,AM,auto
1,22,22.1400,AM,auto
1,23,39.3200,AM,auto
1,24,13.5900,AM,auto
1,25,8.4400,AM,auto
1,26,13.4300,AM,auto
1,27,8.3800,AM,auto
1,28,32.9900,AM,auto
1,29,28.0700,AM,auto
1,30,3.6500,AM,auto
1,31,3.2100,AM,auto
1,32,5.5800,AM,auto
1,33,3.3200,AM,auto
1,34,2.0100,AM,auto
1,35,5.5000,AM,auto
1,36,8.5300,AM,auto
1,37,30.5100,AM,auto
1,38,0.1100,AM,auto
1,39,2.5700,AM,auto
1,40,1.0700,AM,auto
1,41,2.7600,AM,auto
1,42,0.2000,AM,auto
1,43,4.4800,AM,auto
1,44,3.7800,AM,auto
1,45,6.2200,AM,auto
1,46,4.9100,AM,auto
1,47,24.9200,AM,auto
1,48,14.8700,AM,auto
1,49,26.4000,AM,auto
1,50,17.2900,AM,auto
1,51,9.3300,AM,auto
1,52,106.9900,AM,auto
1,53,67.9300,AM,auto
1,54,0.0400,AM,auto
1,55,0.0400,AM,auto
1,56,1.0900,AM,auto
1,57,0.0300,AM,auto
1,58,3.1600,AM,auto
1,59,0.4600,AM,auto
1,60,0.7400,AM,auto
1,61,1.3100,AM,auto
1,62,4.8100,AM,auto
1,63,4.1900,AM,auto
1,64,21.1700,AM,auto
1,65,4.1700,AM,auto
1,66,27.4600,AM,auto
1,67,8.7600,AM,auto
1,68,44.3500,AM,auto
1,69,29.7000,AM,auto
1,70,131.3400,AM,auto
1,71,67.6500,AM,auto
1,72,396.9500,AM,auto
1,73,233.7400,AM,auto
1,74,256.3300,AM,auto
1,75,141.3900,AM,auto
1,76,41.8100,AM,auto
1,77,23.8700,AM,auto
1,78,33.9900,AM,auto
1,79,32.1000,AM,auto
1,80,18.5700,AM,auto
1,81,6.6600,AM,auto
1,82,5.7000,AM,auto
1,83,2.1900,AM,auto
1,84,9.0500,AM,auto
1,85,11.0700,AM,auto
1,86,2.2300,AM,auto
1,87,0.7700,AM,auto
1,88,0.5200,AM,auto
1,89,0.2500,AM,auto
1,90,1.2700,AM,auto
1,91,2.1900,AM,auto
1,92,0.0300,AM,auto
1,93,0.2700,AM,auto
1,94,0.0200,AM,auto
1,95,0.0800,AM,auto
1,96,0.0200,AM,auto
1,97,3.5400,AM,auto
1,98,0.4600,AM,auto
1,99,0.2000,AM,auto
1,100,0.1000,AM,auto
1,101,0.2200,AM,auto
1,102,0.0400,AM,auto
1,103,0.0200,AM,auto
1,104,0.0300,AM,auto
