o_zone_id,d_zone_id,volume,period,agent_type
1,84,91.67,AM,auto
1,61,91.67,AM,auto
1,41,91.67,AM,auto
1,58,91.67,AM,auto
1,72,91.67,AM,auto
1,75,91.67,AM,auto
1,83,91.67,AM,auto
1,66,91.67,AM,auto
1,34,91.67,AM,auto
1,38,91.67,AM,auto
1,23,91.67,AM,auto
1,92,91.67,AM,auto
1,60,91.67,AM,auto
1,62,91.67,AM,auto
1,53,91.67,AM,auto
1,14,91.67,AM,auto
1,19,91.67,AM,auto
1,27,91.67,AM,auto
1,80,91.67,AM,auto
1,15,91.67,AM,auto
1,89,91.67,AM,auto
1,31,91.67,AM,auto
1,76,91.67,AM,auto
1,33,91.67,AM,auto
